,name,blockname,count
222,亚东国际公寓,长虹路449号,1
223,中冶天城,万科金域蓝湾,2
224,中冶天城,南京恒大绿洲,34
225,中冶天城,合家春天,1
226,万欣花园,21世纪假日花园,1
227,万欣花园,万欣翠园,5
228,万欣花园,东渡国际青年城,16
229,万欣花园,天琪福苑,1
230,万欣花园,明月花园,2
231,万欣花园,汇景新苑,1
232,万欣花园,科苑公寓,1
233,万欣花园,竹山雅居,1
234,水佐岗48巷6号,水佐岗,1
235,水佐岗48巷6号,水佐岗32巷,2
236,水佐岗48巷6号,水佐岗48巷3号,2
237,水佐岗48巷6号,水佑岗,2
238,水佐岗48巷6号,祁家桥,1
239,建康路,升州路,1
240,建康路,城市之星,1
241,建康路,小全福巷,1
242,建康路,抄纸巷,1
243,建康路,玉带园,1
244,建康路,白衣庵,1
245,建康路,盈嘉大厦,1
246,建康路,砂珠巷小区,15
247,建康路,磨盘街,1
248,建康路,秦状元里,1
249,建康路,绒庄街,1
250,建康路,绣花巷8号,1
251,建康路,许家巷,1
252,建康路,邀贵井,1
253,建康路,金宝花园,2
254,金鼎湾如院,天和园,2
255,金鼎湾如院,校门口1号,1
256,金鼎湾如院,金鼎湾国际,9
257,金鼎湾如院,金鼎湾花园,3
258,康华新村,同心佳园,1
259,康华新村,城南新村,9
260,康华新村,江佑铂庭,15
261,康华新村,海都嘉园,5
262,康华新村,环宇家园,4
263,康华新村,阳光苑,2
264,东郊小镇第二街区,东郊小镇第一街区,8
265,东郊小镇第二街区,东郊小镇第三街区,10
266,东郊小镇第二街区,东郊小镇第八街区,1
267,东郊小镇第二街区,东郊小镇第六街区,3
268,东郊小镇第二街区,东郊小镇第四街区,21
269,东郊小镇第二街区,银亿东城第十二街区,1
270,东郊小镇第二街区,银河湾紫苑,1
271,大纱帽巷40号,双井巷,2
272,大纱帽巷40号,大纱帽巷38号,2
273,大纱帽巷40号,将军巷,2
274,大纱帽巷40号,小纱帽巷,1
275,大纱帽巷40号,沙塘园,3
276,大纱帽巷40号,珠江路,2
277,大纱帽巷40号,珠江路371号,1
278,大纱帽巷40号,老虎桥,5
279,大纱帽巷40号,蓁巷,1
280,大纱帽巷40号,进香河,7
281,云锦美地聚锦苑,云锦美地丽云居,4
282,云锦美地聚锦苑,云锦美地合锦苑,5
283,云锦美地聚锦苑,云锦美地汇锦苑,6
284,云锦美地聚锦苑,云锦美地碧云居,12
285,云锦美地聚锦苑,云锦美地绮云居,6
286,云锦美地聚锦苑,润花园,5
287,教工新村,凤凰西街,1
288,教工新村,凤凰西街112号,3
289,教工新村,凤凰西街118号,6
290,教工新村,凤凰西街140号,1
291,教工新村,凤凰西街146号,2
292,教工新村,凤凰西街152号,1
293,教工新村,凤凰西街188号,1
294,教工新村,凤凰西街223号,1
295,教工新村,北苑一村,1
296,教工新村,南砖新村,1
297,教工新村,合班村5号,4
298,教工新村,名城世纪园,1
299,教工新村,和燕路293号,2
300,教工新村,和燕路295号,1
301,教工新村,莫愁花园牡丹里,7
302,教工新村,迈皋桥街18号,5
303,教工新村,迈苑小区,4
304,教工新村,金地苑,1
305,教工新村,锦华大厦,1
306,教工新村,馨怡园,1
307,金陵新三村,宝塔桥东街16号大院,3
308,金陵新三村,宝塔桥东街20号,2
309,金陵新三村,金陵一村,1
310,金陵新三村,金陵新七村,1
311,金陵新三村,金陵新五村,2
312,金陵新三村,金陵新四村,12
313,金陵新三村,金陵村100号,2
314,安民村,安国村,7
315,安民村,安如村,2
316,安民村,安康村,5
317,安民村,沿河五村,1
318,安民村,沿河四村,5
319,安民村,湖西街42号,2
320,和燕路293号,教工新村,2
321,和燕路293号,泰悦大厦,1
322,和燕路293号,迈苑小区,3
323,和燕路293号,锦华大厦,8
324,和燕路293号,长营村,6
325,和燕路293号,长营村98号,2
326,佳源公寓,九华山小区,1
327,佳源公寓,农场巷63号,1
328,佳源公寓,北京东路30号,1
329,佳源公寓,太平花园,1
330,佳源公寓,太平门东街10号,1
331,佳源公寓,月新公寓,1
332,佳源公寓,演武新村,1
333,佳源公寓,百仕园,1
334,小行路,名城世家花园,6
335,小行路,小行路35号,9
336,小行路,德安花园,3
337,小行路,时光澔韵,6
338,小行路,枫情国度尚园,3
339,小行路,益居园,3
340,小行路,菊花新村三村,8
341,小行路,菊花新村二村,6
342,小行路,金蕊家苑,6
343,石婆婆巷,丹凤新寓,6
344,石婆婆巷,丹凤街,2
345,石婆婆巷,双龙巷,3
346,石婆婆巷,唱经楼西街,3
347,石婆婆巷,尖角营小区,8
348,石婆婆巷,居安里,8
349,石婆婆巷,恒基中心公寓,7
350,石婆婆巷,鱼市街小区,1
351,泰和园,东门街,7
352,泰和园,尊园,7
353,泰和园,小市新村,1
354,泰和园,燕语华庭,3
355,天润城第十六街区南区,万达紫金明珠,1
356,天润城第十六街区南区,东渡国际青年城,2
357,天润城第十六街区南区,东郊小镇第五街区,1
358,天润城第十六街区南区,中交锦兰荟,1
359,天润城第十六街区南区,天润城第九街区,2
360,天润城第十六街区南区,天润城第十二街区,6
361,天润城第十六街区南区,天润城第十四街区,4
362,天润城第十六街区南区,天润城第十街区,21
363,天润城第十六街区南区,新城市广场,1
364,天润城第十六街区南区,花园路22号,1
365,天润城第十六街区南区,雅居乐花园,1
366,碧泉嘉园,东郊小镇第一街区,1
367,碧泉嘉园,华侨绿洲,1
368,碧泉嘉园,江岸水城,1
369,碧泉嘉园,泰山花苑,4
370,碧泉嘉园,泰来苑,3
371,碧泉嘉园,浦东大厦,2
372,碧泉嘉园,浦东花园,2
373,碧泉嘉园,浦洲花园,2
374,碧泉嘉园,盘龙山庄,2
375,碧泉嘉园,裕民家园,1
376,碧泉嘉园,铁桥小区,3
377,金粟佳园,来凤新村,1
378,金粟佳园,桃园人家,5
379,金粟佳园,达莱花苑,1
380,金粟佳园,集庆路,1
381,恒盈名居,万和源居,5
382,恒盈名居,万达东坊,4
383,恒盈名居,万达西地一期,6
384,恒盈名居,典雅居,1
385,恒盈名居,叠彩丽庭,2
386,恒盈名居,舒心苑,1
387,山水华门岭秀苑,复地朗香,1
388,山水华门岭秀苑,山水华门浅水湾苑,1
389,山水华门岭秀苑,山水华门翰林苑,4
390,山水华门岭秀苑,帝景天成半岛阁,1
391,山水华门岭秀苑,揽翠山庄,1
392,山水华门岭秀苑,江南文枢苑云泊居,1
393,山水华门岭秀苑,江南文枢苑听波园,2
394,山水华门岭秀苑,江南文枢苑竹削馆,1
395,山水华门岭秀苑,瑞景文华,9
396,山水华门岭秀苑,运盛美之国10组团,1
397,山水华门岭秀苑,运盛美之国11组团,2
398,山水华门岭秀苑,运盛美之国6组团,3
399,山水华门岭秀苑,香山美墅,5
400,达美广场,复成里,2
401,达美广场,天同苑,4
402,达美广场,常府街,1
403,达美广场,金陵凤栖园,1
404,达美广场,金龙蟠家苑,2
405,凤凰庄,凤凰街,4
406,凤凰庄,凤凰街84号,2
407,凤凰庄,汉北街,1
408,凤凰庄,汉北街8号,7
409,凤凰庄,金贸新寓,2
410,龙蟠花苑南园,武定新村,1
411,龙蟠花苑南园,水利花苑,3
412,龙蟠花苑南园,龙蟠花苑,15
413,金地浅山艺境,国信阅景龙华,11
414,金地浅山艺境,正荣润锦城,1
415,金地浅山艺境,融侨观邸,18
416,文体西村,育英村,7
417,文体西村,艺苑村,4
418,文体西村,茶亭村,2
419,文体西村,莫愁新村,4
420,文体西村,迎宾村,1
421,真园,健园,15
422,真园,兆园,1
423,真园,开园,8
424,真园,话园,1
425,真园,贡园,6
426,卫岗西12号,卫岗西1号,3
427,卫岗西12号,卫岗西8号,1
428,卫岗西12号,卫桥新村,1
429,卫岗西12号,苜卫路25号,1
430,卫岗西12号,苜卫路31号,1
431,卫岗西12号,苜卫路35号,2
432,卫岗西12号,苜蓿园山庄,11
433,爱涛翠湖花园,江南文枢苑书朗苑,18
434,爱涛翠湖花园,江南文枢苑云泊居,3
435,爱涛翠湖花园,江南文枢苑竹削馆,1
436,九间堂,复地朗香,2
437,九间堂,帝景天成半岛阁,2
438,九间堂,帝景天成天水阁,1
439,九间堂,揽翠山庄,1
440,九间堂,爱涛丽舍,1
441,九间堂,雅居乐长乐渡,1
442,馨园公寓,半山花园,2
443,馨园公寓,后半山园4号,1
444,馨园公寓,城开御园,1
445,馨园公寓,富贵山小区,1
446,馨园公寓,清溪大厦,1
447,馨园公寓,清溪路1号,1
448,馨园公寓,清溪路3号,1
449,金墙花苑,中牌楼东100-1号,1
450,金墙花苑,南城美境,2
451,金墙花苑,居易时代,3
452,金墙花苑,开源小区三村,16
453,金墙花苑,开源小区二村,9
454,金墙花苑,开源小区四村,3
455,金墙花苑,春光里,1
456,金墙花苑,晨光新苑,1
457,金墙花苑,爱涛逸珍公馆,3
458,金墙花苑,碧水云天,1
459,金墙花苑,花雨南庭,5
460,金墙花苑,金陵王榭,7
461,金墙花苑,阳光里,2
462,金墙花苑,雨花村,3
463,金墙花苑,风光里小区,5
464,金墙花苑,龙翔鸣翠苑,1
465,通宇林景御园,东方兰园,8
466,通宇林景御园,中国铁建青秀城,3
467,通宇林景御园,新城尚座花园,1
468,通宇林景御园,美达浅草明苑,5
469,通宇林景御园,阳光雅居,5
470,云锦美地碧云居,云河湾,3
471,云锦美地碧云居,云锦美地丽云居,11
472,云锦美地碧云居,云锦美地合锦苑,8
473,云锦美地碧云居,云锦美地汇锦苑,4
474,云锦美地碧云居,云锦美地绮云居,7
475,云锦美地碧云居,云锦美地聚锦苑,7
476,云锦美地碧云居,润花园,3
477,都市山庄,东元山庄,7
478,都市山庄,佳诚花园北区,2
479,都市山庄,佳诚花园南区,6
480,都市山庄,南理工竹园小区,5
481,都市山庄,南理工西园小区,2
482,都市山庄,双拜巷,1
483,都市山庄,双拜巷教师公寓,1
484,都市山庄,小卫街,2
485,都市山庄,晏公庙西村,2
486,都市山庄,江苏农科院住宅小区,2
487,都市山庄,罗汉巷,2
488,都市山庄,铁匠营,14
489,永庆村小区,峨嵋岭,1
490,永庆村小区,峨嵋岭19号,1
491,永庆村小区,怡景花园,13
492,永庆村小区,百步坡,4
493,清河公寓,御道街30号,2
494,清河公寓,清华公寓,4
495,清河公寓,瑞金北村,9
496,清河公寓,瑞金大厦,1
497,清河公寓,瑞金花苑,2
498,清河公寓,瑞金路1-58号院,1
499,清河公寓,长发东村,6
500,方山熙园,东方龙湖湾东湖苑,4
501,方山熙园,东方龙湖湾南湖苑,25
502,方山熙园,中浩学府风景,3
503,方山熙园,中海万锦熙岸一期,1
504,方山熙园,协众水岸风华,6
505,方山熙园,协众雅居,1
506,方山熙园,博学苑,13
507,方山熙园,博学苑丹桂园,2
508,方山熙园,商苑新村,2
509,方山熙园,天正天御溪岸B区,5
510,方山熙园,骋望骊都,1
511,金马郦城东区,中泰国际广场,2
512,金马郦城东区,月安花园揽月居,1
513,金马郦城东区,海峡城云玺湾,1
514,金马郦城东区,碧瑶花园一期,10
515,金马郦城东区,碧瑶花园二期,2
516,金马郦城东区,苏宁滨江壹号,9
517,金马郦城东区,融侨中央花园1期,6
518,金马郦城东区,融侨中央花园3期,2
519,金马郦城东区,金马郦城西区,20
520,佳诚花园北区,佳诚花园南区,6
521,佳诚花园北区,南理工东园小区,1
522,佳诚花园北区,南理工科园小区,2
523,佳诚花园北区,孝陵卫,4
524,佳诚花园北区,孝陵卫街21号,1
525,佳诚花园北区,孝陵卫街49号,1
526,佳诚花园北区,晏公庙西村,2
527,佳诚花园北区,罗汉巷,2
528,佳诚花园北区,都市山庄,2
529,江苏路140,二号新村,1
530,江苏路140,人和街,1
531,江苏路140,北阴阳营8号,1
532,江苏路140,四卫头小区,1
533,江苏路140,山西南村小区,1
534,江苏路140,水佐岗32巷,1
535,江苏路140,水佐岗48巷6号,1
536,江苏路140,老菜市,1
537,百仕园,丁字巷52号,3
538,百仕园,东大影壁,3
539,百仕园,九华山18-1号,1
540,百仕园,九华山小区,1
541,百仕园,佳源公寓,2
542,百仕园,兰园小区,1
543,百仕园,农场巷63号,1
544,百仕园,北京东路30号,2
545,百仕园,华能城市花园,1
546,百仕园,同创软件大厦,1
547,百仕园,土壤研究所,1
548,百仕园,太平花园,2
549,百仕园,成贤公寓,1
550,百仕园,成贤街,1
551,百仕园,演武新村,1
552,百仕园,珠江路653号,3
553,百仕园,红旗新村,3
554,金珠花苑,中海万锦熙岸一期,13
555,金珠花苑,中海万锦熙岸二期,9
556,金珠花苑,新理想佳园,5
557,金珠花苑,方园兰庭,1
558,金珠花苑,浦珠花园,1
559,金珠花苑,海都嘉园,4
560,金珠花苑,白马湖山庄,2
561,仙鹤里小区,仓顶,1
562,仙鹤里小区,仙鹤街,4
563,仙鹤里小区,双乐园小区,1
564,仙鹤里小区,双塘里,1
565,仙鹤里小区,太平苑,16
566,仙鹤里小区,来凤里,1
567,仙鹤里小区,殷高巷,2
568,仙鹤里小区,菱角市,1
569,仙鹤里小区,达莱公寓,3
570,仙鹤里小区,金粟庵路,7
571,仙鹤里小区,金轮园,1
572,仙鹤里小区,铜坊苑小区,1
573,月牙湖花园,君安东苑,2
574,月牙湖花园,大邦花园,3
575,月牙湖花园,富丽山庄,1
576,月牙湖花园,明湖山庄,7
577,月牙湖花园,梅花山庄湖畔之星,9
578,月牙湖花园,海月花园,1
579,月牙湖花园,紫金名门,1
580,月牙湖花园,金陵御庭园,3
581,月牙湖花园,锦湖大厦,1
582,月牙湖花园,阳光公寓,2
583,金地自在城第五街区,金地自在城第一街区,8
584,金地自在城第五街区,金地自在城第七街区,13
585,金地自在城第五街区,金地自在城第三街区,3
586,金地自在城第五街区,金地自在城第二街区,1
587,金地自在城第五街区,金地自在城第八街区,4
588,金地自在城第五街区,金地自在城第六街区,3
589,金地自在城第五街区,金地自在城第四街区,5
590,安泰村,农机大院小区,2
591,安泰村,利民东村,2
592,安泰村,台园,1
593,安泰村,吉庆家园金秋苑,1
594,安泰村,威尼斯水城第十四街区,1
595,安泰村,宇园,5
596,安泰村,安国村,9
597,安泰村,安如村,3
598,安泰村,开园,7
599,安泰村,沿河一村49号,2
600,安泰村,沿河二村,4
601,安泰村,车站村,1
602,匡庐路,剑阁路,4
603,匡庐路,剑阁路31号,1
604,匡庐路,匡庐新村,2
605,匡庐路,匡庐花园,1
606,匡庐路,天目路,4
607,匡庐路,山阴路,5
608,匡庐路,扬州路,5
609,匡庐路,虎丘路,2
610,山水华门浅水湾苑,山水华门岭秀苑,2
611,山水华门浅水湾苑,江南文枢苑云泊居,1
612,山水华门浅水湾苑,江南文枢苑竹削馆,1
613,山水华门浅水湾苑,爱涛翠湖花园,1
614,山水华门浅水湾苑,瑞景文华,1
615,山水华门浅水湾苑,碧水湾花园,1
616,山水华门浅水湾苑,翠屏国际香樟苑,1
617,唱经楼西街,丹凤新寓,14
618,唱经楼西街,吉兆花园,3
619,唱经楼西街,同仁新寓,2
620,唱经楼西街,大石桥,1
621,唱经楼西街,恒基中心公寓,6
622,唱经楼西街,木马公寓,5
623,唱经楼西街,羲和,1
624,唱经楼西街,鱼市街小区,8
625,安将军巷,北门桥小区,7
626,安将军巷,相府营,8
627,安将军巷,红庙小区,4
628,安将军巷,观音阁,2
629,丹佛小镇,天元吉第城,1
630,丹佛小镇,托乐嘉单身公寓,3
631,丹佛小镇,江南青年城楚襄园,4
632,丹佛小镇,江南青年城绯云苑,3
633,丹佛小镇,江南青年城翠湾苑,3
634,丹佛小镇,江南青年城蓝水苑,2
635,丹佛小镇,科嘉花园,1
636,汉北街,凤凰二村,1
637,汉北街,凤凰庄,2
638,汉北街,凤凰新村,1
639,汉北街,劲顺花园,2
640,汉北街,汉中门大街,2
641,汉北街,汉北街8号,78
642,汉北街,莫愁新寓涌泉里,14
643,汉北街,莫愁新寓胜棋里,16
644,汉北街,莫愁新寓荷花里,4
645,汉北街,莫愁新寓郁金里,2
646,上善居,世纪东山,6
647,上善居,中航樾公馆,11
648,上善居,天鹅湖花园,1
649,上善居,远洋绿地云峰公馆,1
650,弘阳旭日上城三区,天润城第七街区,3
651,弘阳旭日上城三区,天润城第五街区,2
652,弘阳旭日上城三区,天润城第十六街区南区,2
653,弘阳旭日上城三区,弘阳旭日上城二区,16
654,弘阳旭日上城三区,金城丽景北区,2
655,金轮第一居,21世纪假日花园,7
656,金轮第一居,一鸣花园,4
657,金轮第一居,上海明珠花园,2
658,金轮第一居,康达花园城,2
659,金轮第一居,明月花园,16
660,金轮第一居,雅士居,2
661,明城华贵园,仙鹿雅居,1
662,明城华贵园,卢龙山庄,3
663,明城华贵园,四平苑,11
664,明城华贵园,新民路,3
665,明城华贵园,深业滨江半岛,1
666,明城华贵园,紫金江景苑,1
667,明城华贵园,绿城花园,1
668,明城华贵园,证大大拇指广场,1
669,明城华贵园,金川花苑,3
670,银城花园北片,华保新寓,3
671,银城花园北片,湘江路30号,2
672,银城花园北片,银城花园南片,14
673,银城花园北片,银城街,1
674,古平岗35号,丽晶国际,2
675,古平岗35号,古平岗一号,2
676,古平岗35号,定淮门,3
677,古平岗35号,定淮门6号,8
678,碧云山庄,东方熙龙山院,8
679,碧云山庄,凤悦天晴花园,2
680,碧云山庄,揽月山庄,2
681,碧云山庄,白马湖山庄,5
682,碧云山庄,象山花园,1
683,碧云山庄,钱塘望景花园,9
684,碧云山庄,领域花园,9
685,瑞金北村,五十五所西华门宿舍区,1
686,瑞金北村,大清河,5
687,瑞金北村,御道街28号小区,2
688,瑞金北村,清华公寓,4
689,瑞金北村,清河公寓,2
690,瑞金北村,解放路26号,3
691,瑞金北村,解放路36号,2
692,瑞金北村,长发东村,6
693,晏公庙新村,佳诚花园南区,1
694,晏公庙新村,双拜巷,2
695,晏公庙新村,双拜巷教师公寓,4
696,晏公庙新村,晏公庙1号,2
697,晏公庙新村,晏公庙52号,3
698,晏公庙新村,晏公庙53号,3
699,晏公庙新村,晏公庙西村,14
700,晏公庙新村,水西门大街153号,1
701,晏公庙新村,罗汉巷,1
702,古平岗小区,北京西路79号,1
703,古平岗小区,古平岗22号,1
704,古平岗小区,古平岗一号,2
705,古平岗小区,定淮门,5
706,古平岗小区,定淮门6号,2
707,古平岗小区,白云园北片,1
708,古平岗小区,腾飞园,3
709,古平岗小区,花开园,1
710,印湖山庄,东方龙湖湾南湖苑,8
711,印湖山庄,东虹花苑西苑,1
712,印湖山庄,东郊小镇第四街区,1
713,印湖山庄,中粮彩云居,1
714,印湖山庄,华汇康城,1
715,印湖山庄,南湾营宁康苑,1
716,印湖山庄,合家春天,1
717,印湖山庄,嘉顺时代广场,2
718,印湖山庄,城市之光大厦,2
719,印湖山庄,天地新城天柱座,5
720,印湖山庄,天泰青城苑,2
721,印湖山庄,天祥家园,1
722,印湖山庄,水岸明珠,5
723,印湖山庄,江山星汉城,2
724,印湖山庄,紫金银座,2
725,印湖山庄,融侨世家,8
726,印湖山庄,银河湾花园,3
727,印湖山庄,颐家春天花园,2
728,江东北路109号,临江新寓,2
729,江东北路109号,典雅大厦,2
730,江东北路109号,天水滨江花园西苑,1
731,江东北路109号,清河新寓一村,1
732,江东北路109号,清河新寓二村,1
733,江东北路109号,金陵世纪花园,1
734,后标营28号,后标营38号,1
735,后标营28号,后标营50号,9
736,后标营28号,标营4号,1
737,后标营28号,瑞金路,2
738,后标营28号,银通公寓,1
739,铁路中街,东瓜圃桥,5
740,铁路中街,中山北路,1
741,铁路中街,交通一村,3
